icao,ident,name,municipality,state,latitude_deg,longitude_deg,iso_country,type,point_category,source
SBGP,SBGP,EMBRAER - Unidade Gavião Peixoto,GAVIÃO PEIXOTO,SP,-21.764444,-48.404722,BR,private_aerodrome,Brasil,ANAC_privados
SBIT,SBIT,Hidrelétrica de Itumbiara,ITUMBIARA,GO,-18.445,-49.214167,BR,private_aerodrome,Brasil,ANAC_privados
SBOA,SBOA,Fazenda Antas,SAPÉ,PB,-6.9733333,-35.253333,BR,private_aerodrome,Brasil,ANAC_privados
SBOB,SBOB,Fazenda Buriti,UNAÍ,MG,-16.3225,-47.223333,BR,private_aerodrome,Brasil,ANAC_privados
SBOD,SBOD,Fazenda Santa Cruz,ARAGUAÍNA,TO,-7.4558333,-49.195556,BR,private_aerodrome,Brasil,ANAC_privados
SBOE,SBOE,Fazenda Americana,QUERÊNCIA,MT,-12.587222,-52.096389,BR,private_aerodrome,Brasil,ANAC_privados
SBOF,SBOF,FAZENDA BANDEIRANTES,CHAPADÃO DO SUL,MS,-19.318611,-52.533333,BR,private_aerodrome,Brasil,ANAC_privados
SBOG,SBOG,Fazenda Vereda Grande,VITÓRIA DA CONQUISTA,BA,-14.784722,-40.816944,BR,private_aerodrome,Brasil,ANAC_privados
SBOH,SBOH,Fazenda São Sebastião,TESOURO,MT,-15.999167,-53.543056,BR,private_aerodrome,Brasil,ANAC_privados
SBOJ,SBOJ,Crepurizão,ITAITUBA,PA,-6.82,-56.841389,BR,private_aerodrome,Brasil,ANAC_privados
SBOK,SBOK,Fazenda São Vicente,LUCAS DO RIO VERDE,MT,-13.290556,-55.975,BR,private_aerodrome,Brasil,ANAC_privados
SBOL,SBOL,Fazenda Santa Lúcia,APORÉ,GO,-18.920278,-52.001389,BR,private_aerodrome,Brasil,ANAC_privados
SBOM,SBOM,Fazenda Santa Maria,LAMBARI D'OESTE,MT,-15.377222,-57.681944,BR,private_aerodrome,Brasil,ANAC_privados
SBON,SBON,Fazenda Renascer,GOIATINS,TO,-7.6155556,-47.451667,BR,private_aerodrome,Brasil,ANAC_privados
SBOO,SBOO,Fazenda Ceita Corê,BONITO,MS,-20.838611,-56.588611,BR,private_aerodrome,Brasil,ANAC_privados
SBOP,SBOP,Arena Corinthians,SÃO PAULO,São Paulo,-23.544167,-46.477778,BR,heliport,Brasil,ANAC_helipontos
SBOQ,SBOQ,Fazenda Irmãs Prata,CHAPADÃO DO CÉU,GO,-18.621111,-52.833056,BR,private_aerodrome,Brasil,ANAC_privados
SBOR,SBOR,Fazenda AgroTamareira,MUNDO NOVO,GO,-13.730278,-50.358056,BR,private_aerodrome,Brasil,ANAC_privados
SBOS,SBOS,Fazenda Santo Augusto,BRASNORTE,MT,-13.152778,-58.1175,BR,private_aerodrome,Brasil,ANAC_privados
SBOT,SBOT,Fazenda Eldorado,MONÇÃO,MA,-3.6919444,-45.268889,BR,private_aerodrome,Brasil,ANAC_privados
SBOU,SBOU,Fazenda São Jerônimo,NOVA CANAÃ DO NORTE,MT,-10.270278,-55.786111,BR,private_aerodrome,Brasil,ANAC_privados
SBOV,SBOV,Fazenda Tabatinga,SANTA RITA DO TRIVELATO,MT,-14.159444,-54.926667,BR,private_aerodrome,Brasil,ANAC_privados
SBOW,SBOW,Fazenda Agropecuária Vale do Ouro,ITAITUBA,PA,-4.1866667,-56.058056,BR,private_aerodrome,Brasil,ANAC_privados
SBOX,SBOX,FAZENDA BAIA MORENA,CORUMBÁ,MS,-18.26,-55.374444,BR,private_aerodrome,Brasil,ANAC_privados
SBOY,SBOY,Fazenda São José,CORUMBÁ,MS,-17.418333,-56.179722,BR,private_aerodrome,Brasil,ANAC_privados
SBOZ,SBOZ,Fazenda Arizona,CÁCERES,MT,-16.18,-57.278333,BR,private_aerodrome,Brasil,ANAC_privados
SBQA,SBQA,Fazenda Floresta,NAZÁRIO,GO,-16.536111,-49.838056,BR,private_aerodrome,Brasil,ANAC_privados
