icao,motivo,visitas
ZZZZ,ICAO especial ignorado,7165
ZZZZNE,Código inválido / não-ICAO,1632
SNSG,Sem coordenadas na base de aeroportos,1317
ZZZZCO,Código inválido / não-ICAO,802
ZZZZNO,Código inválido / não-ICAO,451
SBGP,Sem coordenadas na base de aeroportos,365
ZZZZSE,Código inválido / não-ICAO,347
SBJD,Sem coordenadas na base de aeroportos,297
SDHL,Sem coordenadas na base de aeroportos,262
SBJI,Sem coordenadas na base de aeroportos,227
ZZZZSU,Código inválido / não-ICAO,216
OROCO,Código inválido / não-ICAO,170
ZZZZPY,Código inválido / não-ICAO,152
SAICA,Código inválido / não-ICAO,140
SBDO,Sem coordenadas na base de aeroportos,130
SNAV,Sem coordenadas na base de aeroportos,130
MARIAD,Código inválido / não-ICAO,121
SWUQ,Sem coordenadas na base de aeroportos,112
SIQE,Sem coordenadas na base de aeroportos,107
SNXQ,Sem coordenadas na base de aeroportos,104
SDXF,Sem coordenadas na base de aeroportos,96
SJPF,Sem coordenadas na base de aeroportos,92
SSPV,Sem coordenadas na base de aeroportos,92
ANPF,Sem coordenadas na base de aeroportos,88
SS36,Sem coordenadas na base de aeroportos,86
RISECO,Código inválido / não-ICAO,82
SBSG,Sem coordenadas na base de aeroportos,81
SNBD,Sem coordenadas na base de aeroportos,80
MARACA,Código inválido / não-ICAO,76
SJMH,Sem coordenadas na base de aeroportos,72
SSQB,Sem coordenadas na base de aeroportos,70
SBCC,Sem coordenadas na base de aeroportos,68
SBMT,Sem coordenadas na base de aeroportos,65
CARNA,Código inválido / não-ICAO,64
ASSUN,Código inválido / não-ICAO,63
IBO,Código inválido / não-ICAO,62
SNYD,Sem coordenadas na base de aeroportos,58
SWJP,Sem coordenadas na base de aeroportos,58
ZZZZPE,Código inválido / não-ICAO,57
SBCO,Sem coordenadas na base de aeroportos,53
AIRI,Sem coordenadas na base de aeroportos,52
SSPQ,Sem coordenadas na base de aeroportos,52
SWFR,Sem coordenadas na base de aeroportos,51
SDOE,Sem coordenadas na base de aeroportos,50
MELOF,Código inválido / não-ICAO,48
SBES,Sem coordenadas na base de aeroportos,48
SWYN,Sem coordenadas na base de aeroportos,48
SNDH,Sem coordenadas na base de aeroportos,47
SIIY,Sem coordenadas na base de aeroportos,46
CABROB,Código inválido / não-ICAO,44
SWCG,Sem coordenadas na base de aeroportos,44
SWFN,Sem coordenadas na base de aeroportos,44
SWUZ,Sem coordenadas na base de aeroportos,40
SSEU,Sem coordenadas na base de aeroportos,32
SWSW,Sem coordenadas na base de aeroportos,32
SSMY,Sem coordenadas na base de aeroportos,29
BOCAS,Código inválido / não-ICAO,28
BSFERR,Código inválido / não-ICAO,28
RSECO,Código inválido / não-ICAO,28
SJBY,Sem coordenadas na base de aeroportos,28
SRAM,Sem coordenadas na base de aeroportos,26
SBQV,Sem coordenadas na base de aeroportos,24
SNAK,Sem coordenadas na base de aeroportos,24
SWTY,Sem coordenadas na base de aeroportos,22
DPOMFI,Código inválido / não-ICAO,20
SJLN,Sem coordenadas na base de aeroportos,20
SNRM,Sem coordenadas na base de aeroportos,20
SWPY,Sem coordenadas na base de aeroportos,20
ANORI,Código inválido / não-ICAO,19
SIAV,Sem coordenadas na base de aeroportos,19
SJVO,Sem coordenadas na base de aeroportos,19
SSHY,Sem coordenadas na base de aeroportos,19
BGPDF,Código inválido / não-ICAO,18
SJNY,Sem coordenadas na base de aeroportos,18
SSCR,Sem coordenadas na base de aeroportos,18
STRITA,Código inválido / não-ICAO,18
SWAE,Sem coordenadas na base de aeroportos,18
SNKJ,Sem coordenadas na base de aeroportos,17
KPTPCO,Código inválido / não-ICAO,16
SJAH,Sem coordenadas na base de aeroportos,16
SJOG,Sem coordenadas na base de aeroportos,16
SJPM,Sem coordenadas na base de aeroportos,16
SSPR,Sem coordenadas na base de aeroportos,16
