Atualizado em: 2026-05-12
"CÓDIGO OACI";"CIAD";"NOME";"ALTITUDE";"RESISTÊNCIA";"COMPRIMENTO DO MAIOR HELICÓPTERO A OPERAR";"VALIDADE DO CADASTRO";"PORTARIA DE REGISTRO";"LINK PORTARIA"
"9PIH";"AB0003";"SEVEN WAVES";"21,0";"12,80";"22,20";"09/08/2026";"PA2023-11.786";"https://pergamum.anac.gov.br/arquivos/PA2023-11.786.pdf"
"9PER";"AB0004";"PLATAFORMA 3R-1";"26,2";"7,00";"17,55";"04/11/2028";"PA2025-18.177";"https://pergamum.anac.gov.br/arquivos/PA2025-18.177.pdf"
"9PQZ";"AB0005";"FPSO CIDADE DE CAMPOS DE GOYTACAZES MV 29 / MV29";"30,0";"12,80";"22,20";"21/08/2026";"PA2023-11.982";"https://pergamum.anac.gov.br/arquivos/PA2023-11.982.pdf"
"9PPX";"AB0006";"PLATAFORMA DE XARÉU 01";"30,5";"5,08";"15,00";"10/08/2026";"PA2023-11.906";"https://pergamum.anac.gov.br/arquivos/PA2023-11.906.pdf"
"9PCN";"AB0007";"FPSO CIDADE DE NITEROI MV 18 / FPNT";"29,1";"12,90";"20,88";"null";"PA2026-19.137";"https://pergamum.anac.gov.br/arquivos/PA2026-19.137.pdf"
"9PEN";"AB0009";"FPSO ESPÍRITO SANTO";"15,9";"8,60";"18,70";"23/05/2029";"PA2026-19.082";"https://pergamum.anac.gov.br/arquivos/PA2026-19.082.pdf"
"9PFD";"AB0010";"FPSO FRADE";"37,5";"9,30";"19,50";"11/04/2029";"PA2026-18.990";"https://pergamum.anac.gov.br/arquivos/PA2026-18.990.pdf"
"9PRZ";"AB0011";"PETROBRAS 18";"29,9";"12,80";"20,88";"27/01/2029";"PA2026-19.086";"https://pergamum.anac.gov.br/arquivos/PA2026-19.086.pdf"
"9PTA";"AB0012";"PLATAFORMA DE ATUM 03 – PAT-03";"38,3";"8,00";"17,00";"null";"PA2025-17.745";"https://pergamum.anac.gov.br/arquivos/PA2025-17.745.pdf"
"9PNC";"AB0013";"PEREGRINO C";"64,1";"7,00";"16,76";"14/04/2029";"PA2026-18.995";"https://pergamum.anac.gov.br/arquivos/PA2026-18.995.pdf"
"9PIN";"AB0017";"SAPURA DIAMANTE";"27,0";"12,80";"22,20";"22/10/2026";"PA2023-12.683";"https://pergamum.anac.gov.br/arquivos/PA2023-12.683.pdf"
"9PIX";"AB0018";"SAPURA TOPÁZIO";"27,0";"12,80";"22,20";"29/09/2026";"PA2023-12.285";"https://pergamum.anac.gov.br/arquivos/PA2023-12.285.pdf"
