icao,motivo,visitas
ZZZZ,ICAO especial ignorado,908
SDXF,Sem coordenadas na base de aeroportos,14
SNSG,Sem coordenadas na base de aeroportos,14
SWYN,Sem coordenadas na base de aeroportos,12
SBJD,Sem coordenadas na base de aeroportos,10
SBJI,Sem coordenadas na base de aeroportos,8
SWBG,Sem coordenadas na base de aeroportos,8
SBMT,Sem coordenadas na base de aeroportos,5
SBAM,Sem coordenadas na base de aeroportos,4
SBDO,Sem coordenadas na base de aeroportos,4
SBRA,Sem coordenadas na base de aeroportos,2
SBSG,Sem coordenadas na base de aeroportos,2
SBVP,Sem coordenadas na base de aeroportos,2
SLPM,Sem coordenadas na base de aeroportos,2
SSCR,Sem coordenadas na base de aeroportos,2
